"","Parkinglot_ID","Location_code","Address","Parkinglot_num","Parkinglot_num_matiz","log","lat","fee","Parkinglot_Total"
"8029",5022262,10300,"서울특별시 광진구 구의동 592-36",2,0,127.090862,37.534634,"무료",2
"8030",5021912,10300,"서울특별시 광진구 구의동 593-17",0,0,127.091137,37.534666,"무료",0
"8032",5023754,10300,"서울특별시 광진구 구의동 245-26",18,0,127.091431,37.538181,"무료",18
"8033",4961347,10300,"서울특별시 광진구 구의동 245-6",4,0,127.091481,37.538313,"무료",4
"8034",5124056,10300,"서울특별시 광진구 구의동 245-1",0,0,127.091608,37.538448,"무료",0
"8035",4959869,10300,"서울특별시 광진구 구의동 245-2 선보맨션",0,0,127.09172,37.538338,"무료",0
"8036",5020663,10300,"서울특별시 광진구 구의동 245-5",3,0,127.091542,37.538203,"무료",3
"8037",5066822,10300,"서울특별시 광진구 구의동 587-15",4,0,127.091638,37.538107,"무료",4
"8038",5066874,10300,"서울특별시 광진구 구의동 218-16",0,0,127.091796,37.538522,"무료",0
"8039",5069759,10300,"서울특별시 광진구 구의동 218-15 와이엔 오피스텔",40,0,127.091974,37.538567,"무료",40
"8040",5022915,10300,"서울특별시 광진구 구의동 218-14 washzone garage calipapas diner",11,0,127.092432,37.538633,"무료",11
"8043",5022560,10300,"서울특별시 광진구 구의동 218-1 다다빌딩",0,0,127.093198,37.539348,"무료",0
"8044",5022557,10300,"서울특별시 광진구 구의동 213-14",10,0,127.093452,37.539514,"무료",10
"8045",5022556,10300,"서울특별시 광진구 구의동 213-2",6,0,127.093645,37.539621,"무료",6
"8046",5022555,10300,"서울특별시 광진구 구의동 213-1 트리니티 빌딩",17,0,127.093921,37.539752,"무료",17
"8047",5015291,10300,"서울특별시 광진구 구의동 590-7 구의동 남청아파트",22,0,127.089975,37.536011,"무료",22
"8048",5024254,10300,"서울특별시 광진구 구의동 591-13",9,0,127.090163,37.535751,"무료",9
"8049",5069760,10300,"서울특별시 광진구 구의동 590-5 썬빌리지",0,0,127.090262,37.536017,"무료",0
"8050",5024199,10300,"서울특별시 광진구 구의동 591-15 뉴그린빌리지",10,0,127.090393,37.535838,"무료",10
"8051",5022918,10300,"서울특별시 광진구 구의동 590-4 금탑하이빌",6,0,127.090493,37.536082,"무료",6
"8052",5024200,10300,"서울특별시 광진구 구의동 591-20 현대빌라",0,0,127.090572,37.535925,"무료",0
"8053",5022305,10300,"서울특별시 광진구 구의동 591-5 현대아트빌라",0,0,127.089787,37.535678,"무료",0
"8054",5066585,10300,"서울특별시 광진구 구의동 591-8",10,0,127.090035,37.535721,"무료",10
"8055",5015292,10300,"서울특별시 광진구 구의동 590-9 서정빌딩",2,0,127.089481,37.535948,"무료",2
"8056",5022306,10300,"서울특별시 광진구 구의동 591",0,0,127.089608,37.53566,"무료",0
"8057",5015299,10300,"서울특별시 광진구 구의동 591-29 우남위시빌",19,0,127.089649,37.535563,"무료",19
"8058",5109293,10300,"서울특별시 광진구 구의동 591-1",0,0,127.089818,37.535206,"무료",0
"8059",5015300,10300,"서울특별시 광진구 구의동 592-39 한양연립",35,0,127.090391,37.534604,"무료",35
"8060",5022653,10300,"서울특별시 광진구 구의동 591-11",0,0,127.090357,37.535414,"무료",0
"8061",5094633,10300,"서울특별시 광진구 구의동 591-33",0,0,127.09028,37.535558,"무료",0
"8062",5124330,10300,"서울특별시 광진구 구의동 591-16",6,0,127.090472,37.535655,"무료",6
"8063",5022308,10300,"서울특별시 광진구 구의동 591-3",0,0,127.089985,37.535306,"무료",0
"8064",5022309,10300,"서울특별시 광진구 구의동 591-10",6,0,127.090175,37.535355,"무료",6
"8065",5022310,10300,"서울특별시 광진구 구의동 591-9",0,0,127.090104,37.535545,"무료",0
"8066",5066584,10300,"서울특별시 광진구 구의동 591-4",2,0,127.089888,37.535474,"무료",2
"8067",4957899,10300,"서울특별시 광진구 구의동 218-32 개나리빌라트",2,0,127.092205,37.538234,"무료",2
"8068",5020665,10300,"서울특별시 광진구 구의동 216-4 구의아키빌리지",12,0,127.092571,37.53817,"무료",12
"8069",5023756,10300,"서울특별시 광진구 구의동 218-22",0,0,127.092071,37.53839,"무료",0
"8070",5021069,10300,"서울특별시 광진구 구의동 218-13",19,0,127.09306,37.538833,"무료",19
"8071",5069618,10300,"서울특별시 광진구 구의동 218-35",9,0,127.09292,37.538733,"무료",9
"8072",5023870,10300,"서울특별시 광진구 구의동 217-13",1,0,127.093272,37.538588,"무료",1
"8073",5020697,10300,"서울특별시 광진구 구의동 218-28 테크노빌라",4,0,127.092799,37.538665,"무료",4
"8074",5021896,10300,"서울특별시 광진구 구의동 217-14 테크노빌",2,0,127.093189,37.538649,"무료",2
"8075",5066779,10300,"서울특별시 광진구 구의동 218-10",5,0,127.093387,37.539009,"무료",5
"8076",5021899,10300,"서울특별시 광진구 구의동 217-3",3,0,127.093485,37.538794,"무료",3
"8077",5021897,10300,"서울특별시 광진구 구의동 218-29 대성빌라",0,0,127.093246,37.538929,"무료",0
"8078",5021898,10300,"서울특별시 광진구 구의동 217-4",3,0,127.093367,37.538685,"무료",3
"8079",4961346,10300,"서울특별시 광진구 구의동 213-5 삼보빌딩",8,0,127.093538,37.539359,"무료",8
"8080",5022559,10300,"서울특별시 광진구 구의동 218-3",0,0,127.09331,37.539335,"무료",0
"8081",5069758,10300,"서울특별시 광진구 구의동 218-6 태진빌딩",8,0,127.093401,37.539174,"무료",8
"8082",5540129,10300,"서울특별시 광진구 구의동 218-33",2,0,127.092036,37.538256,"무료",2
"8083",5023660,10300,"서울특별시 광진구 구의동 199-1 만택빌딩",26,0,127.095867,37.540777,"무료",26
"8084",5023657,10300,"서울특별시 광진구 구의동 199-2 이진빌딩",8,0,127.096078,37.540706,"무료",8
